#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-21T18:45:29 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ614a279d1ddc26	
#INFO	-out.max=unlimited	
#INFO	queryParameters=26	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-out.add=_RA*-c.eq,_DE*-c.eq
#-sort=_r
#-order=I
#-out.src=V/53A/catalog,V/53A/names
#-nav=cat:V/53A&tab:{V/53A/catalog}&tab:{V/53A/names}&key:source=V/53A&HTTPPRM:&&-ref=VIZ614a279d1ddc26&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-out.add=_RA*-c.eq,_DE*-c.eq&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=HR&-ignore=HR_data=*&HR_data=HR_data&-out=Const&-out=RA2000&-out=DE2000&-out=ELON&-out=ELAT&-out=GLON&-out=GLAT&HIP_data=HIP_data&-out=Dist&-out=Vmag&-out=SpType&Simbad=Simbad&-out=Name&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=V/53A/catalog,V/53A/names
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/53A/catalog V/53A/names
#-out=HR
#-out=Const
#-out=RA2000
#-out=DE2000
#-out=ELON
#-out=ELAT
#-out=GLON
#-out=GLAT
#-out=Dist
#-out=Vmag
#-out=SpType
#-out=Name
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_5053
#Name: V/53A
#Title: Catalogue of the Brightest Stars (Ochsenbein+ 1988)
#Table	V_53A_catalog:
#Name: V/53A/catalog
#Title: The Catalogue
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	HR	(I4)	[1/9110]+ "Bright Star" catalog <V/50>	[ucd=]
#Column	Const	(A3)	Constellation (3 characters)	[ucd=]
#Column	RA2000	(A10)	Right Ascension 2000 (hours)	[ucd=pos.eq.ra;meta.main]
#Column	DE2000	(A9)	Declination 2000 (degrees)	[ucd=pos.eq.dec;meta.main]
#Column	ELON	(F6.2)	Ecliptic longitude, J2000	[ucd=]
#Column	ELAT	(F6.2)	Ecliptic latitude, J2000	[ucd=]
#Column	GLON	(F6.2)	Galactic longitude	[ucd=]
#Column	GLAT	(F6.2)	Galactic latitude	[ucd=]
#Column	Dist	(I5)	Distance of star in light-years (5)	[ucd=]
#Column	Vmag	(F5.2)	[-1.46/5.03] Visual magnitude (magnitude visuelle)	[ucd=]
#Column	SpType	(a19)	MK Spectral Type	[ucd=]
_RAJ2000	_DEJ2000	HR	Const	RA2000	DE2000	ELON	ELAT	GLON	GLAT	Dist	Vmag	SpType
083.182083	-17.822222	1865	Lep	05 32 43.7	-17 49 20	 81.38	-41.06	220.95	-25.14	  954	 2.57	F0Ib
083.705000	 +9.489444	1876	Ori	05 34 49.2	+09 29 22	 83.61	-13.81	195.40	-12.29	 1546	 4.41	B0III
083.784167	 +9.934167	1879	Ori	05 35 08.2	+09 56 03	 83.71	-13.37	195.05	-12.00	  175	 3.66	O8e
083.760833	 -6.001944	1887	   	05 35 02.6	-06 00 07	 82.88	-29.29	209.56	-19.71	 1546	 4.78	B0.5V
083.846250	 -4.838333	1892	Ori	05 35 23.1	-04 50 18	 83.04	-28.13	208.50	-19.11	 1162	 4.59	B1V
083.857917	 -5.910000	1899	Ori	05 35 25.9	-05 54 36	 83.00	-29.20	209.52	-19.58	 1384	 2.76	O9III
084.052917	 -1.201944	1903	Ori	05 36 12.7	-01 12 07	 83.46	-24.51	205.21	-17.24	 1257	 1.69	B0Iae
084.226250	 +9.290556	1907	Ori	05 36 54.3	+09 17 26	 84.13	-14.03	195.84	-11.95	  116	 4.09	K0IIIbCN-2
084.410833	+21.142500	1910	Tau	05 37 38.6	+21 08 33	 84.78	 -2.20	185.69	 -5.64	  465	 3.03	B4IIIpe
083.406250	-62.490000	1922	Dor	05 33 37.5	-62 29 24	 52.12	-85.04	271.73	-32.77	 1525	 3.76	F6Ia
084.686250	 -2.600000	1931	Ori	05 38 44.7	-02 36 00	 84.10	-25.93	206.82	-17.34	 1136	 3.80	O9.5V
084.796250	 +4.121389	1934	Ori	05 39 11.1	+04 07 17	 84.50	-19.22	200.73	-14.03	  654	 4.59	B3IIIe
084.720833	 -7.213056	1937	Ori	05 38 53.0	-07 12 47	 83.92	-30.54	211.16	-19.40	  155	 4.81	A4V
085.323750	+16.533889	1946	Tau	05 41 17.7	+16 32 02	 85.49	 -6.83	190.09	 -7.31	  605	 4.86	B3IV
085.189583	 -1.942778	1948	Ori	05 40 45.5	-01 56 34	 84.68	-25.29	206.45	-16.59	 1110	 2.05	O9.5Ibe
085.189583	 -1.942778	1949	Ori	05 40 45.5	-01 56 34	 84.68	-25.29	206.45	-16.59	 2255	 4.21	B0III
085.210833	 -1.128889	1952	   	05 40 50.6	-01 07 44	 84.74	-24.48	205.71	-16.19	 1008	 4.95	B2IV-V
084.912083	-34.074167	1956	Col	05 39 38.9	-34 04 27	 82.17	-57.38	238.81	-28.86	  271	 2.65	B7IVe
085.619167	 +1.474722	1963	Ori	05 42 28.6	+01 28 29	 85.28	-21.89	203.54	-14.59	  326	 4.90	K1III
086.115833	-22.448333	1983	Lep	05 44 27.8	-22 26 54	 84.85	-45.82	226.79	-24.27	   29	 3.60	F6V
087.293333	+39.181111	1995	Aur	05 49 10.4	+39 10 52	 87.82	 15.76	171.58	  5.91	  217	 4.53	G8III
086.738750	-14.821944	1998	Lep	05 46 57.3	-14 49 19	 85.99	-38.22	219.40	-20.83	   70	 3.54	A3Vn
087.253750	+24.567500	2002	Tau	05 49 00.9	+24 34 03	 87.50	  1.15	184.13	 -1.61	  543	 4.86	G8IIIv
086.938750	 -9.669722	2004	Ori	05 47 45.3	-09 40 11	 86.40	-33.07	214.51	-18.50	 1560	 2.06	B0.5Iav
087.387083	+12.651111	2010	Tau	05 49 32.9	+12 39 04	 87.40	-10.76	194.49	 -7.57	  271	 4.91	B9IV
087.760000	+37.305556	2011	Aur	05 51 02.4	+37 18 20	 88.16	 13.88	173.39	  5.28	  543	 4.74	M0III-IIIbFe-0.5
087.872083	+39.148611	2012	Aur	05 51 29.3	+39 08 55	 88.29	 15.72	171.84	  6.28	  217	 3.97	K0III*
086.193750	-65.735556	2015	Dor	05 44 46.5	-65 44 08	 26.45	-88.25	275.47	-31.37	  148	 4.35	A7V
086.821250	-51.066389	2020	Pic	05 47 17.1	-51 03 59	 82.54	-74.42	258.37	-30.61	   63	 3.85	A5V
088.711250	+55.706944	2029	Aur	05 54 50.7	+55 42 25	 89.14	 32.27	157.33	 14.72	  250	 5.00	A2V
088.331667	+27.612222	2034	Tau	05 53 19.6	+27 36 44	 88.52	  4.18	182.01	  0.77	  465	 4.59	A0V
087.830000	-20.879167	2035	Lep	05 51 19.2	-20 52 45	 87.17	-44.30	225.82	-22.22	  112	 3.85	G8IIIwkCN*
088.110000	 +1.855278	2037	Ori	05 52 26.4	+01 51 19	 87.97	-21.57	204.41	-12.22	  660	 4.78	K1.5IIb
087.739583	-35.768333	2040	Col	05 50 57.5	-35 46 06	 86.42	-59.18	241.35	-27.06	   88	 3.12	K2III
087.456667	-56.166667	2042	Pic	05 49 49.6	-56 10 00	 82.18	-79.54	264.31	-30.69	  181	 4.51	K1III
088.595417	+20.276111	2047	Ori	05 54 22.9	+20 16 34	 88.68	 -3.16	188.46	 -2.73	   28	 4.41	G0V
088.278333	-33.801389	2056	Col	05 53 06.8	-33 48 05	 87.36	-57.22	239.36	-26.09	  362	 4.87	B5V
088.792917	 +7.406944	2061	Ori	05 55 10.3	+07 24 25	 88.75	-16.03	199.79	 -8.96	  465	 0.50	M1-2Ia-Iab
089.881667	+54.284722	2077	Aur	05 59 31.6	+54 17 05	 89.92	 30.85	158.95	 14.69	  141	 3.72	K0III
089.498333	+25.953889	2084	Tau	05 57 59.6	+25 57 14	 89.55	  2.52	183.97	  0.84	 3443	 4.82	B0.5II
089.100833	-14.167778	2085	Lep	05 56 24.2	-14 10 04	 88.90	-37.60	219.76	-18.47	   49	 3.72	F1III
088.874167	-37.120833	2087	Col	05 55 29.8	-37 07 15	 88.17	-60.55	243.07	-26.53	  362	 4.97	K1III
089.882083	+44.947500	2088	Aur	05 59 31.7	+44 56 51	 89.91	 21.51	167.46	 10.41	   83	 1.90	A2IV
089.983750	+45.936944	2091	Aur	05 59 56.1	+45 56 13	 89.99	 22.50	166.60	 10.94	  727	 4.25	M3II
089.930000	+37.212500	2095	Aur	05 59 43.2	+37 12 45	 89.94	 13.77	174.34	  6.73	  181	 2.62	A0pSi
088.525417	-63.089722	2102	   	05 54 06.1	-63 05 23	 79.09	-86.47	272.38	-30.42	   90	 4.65	K1III-IV
089.384167	-35.283333	2106	Col	05 57 32.2	-35 17 00	 89.03	-58.72	241.23	-25.64	  675	 4.36	B2.5IV
090.013750	 -3.074167	2113	   	06 00 03.3	-03 04 27	 90.02	-26.51	209.79	-12.83	  465	 4.52	K2IIIv
089.786250	-42.815278	2120	Col	05 59 08.7	-42 48 55	 89.61	-66.25	249.46	-27.23	  543	 3.96	K0III
090.595833	 +9.647500	2124	Ori	06 02 23.0	+09 38 51	 90.60	-13.79	198.68	 -6.31	  155	 4.12	A2V
090.459583	-10.598056	2128	Mon	06 01 50.3	-10 35 53	 90.55	-34.04	216.95	-15.77	  624	 4.94	B5III
091.030000	+23.263333	2134	Gem	06 04 07.2	+23 15 48	 90.95	 -0.17	186.99	  0.72	  155	 4.15	G7III
090.980000	+20.138333	2135	Ori	06 03 55.2	+20 08 18	 90.92	 -3.30	189.69	 -0.86	 3364	 4.63	B2Iave
091.245833	-16.484444	2148	Lep	06 04 59.0	-16 29 04	 91.56	-39.92	222.87	-17.53	  198	 4.93	A2eShell
091.538750	-14.935278	2155	Lep	06 06 09.3	-14 56 07	 91.90	-38.36	221.51	-16.64	  171	 4.67	A1Vn
091.892917	+14.768333	2159	Ori	06 07 34.3	+14 46 06	 91.85	 -8.66	194.81	 -2.72	  543	 4.42	B3V
093.013750	+16.130556	2198	Ori	06 12 03.3	+16 07 50	 92.92	 -7.28	194.13	 -1.12	  461	 4.92	B5Vn
092.985000	+14.208611	2199	Ori	06 11 56.4	+14 12 31	 92.93	 -9.20	195.81	 -2.06	  544	 4.48	B3IV
094.711667	+69.320000	2209	   	06 18 50.8	+69 19 12	 92.39	 45.92	145.16	 22.46	  181	 4.80	A0Vn
092.574583	-54.968611	2212	Pic	06 10 17.9	-54 58 07	 97.33	-78.34	263.30	-27.68	 1553	 4.81	B3III+O9V
094.478750	+61.515278	2215	Lyn	06 17 54.9	+61 30 55	 92.71	 38.12	153.03	 19.81	  559	 4.98	M3IIIab
093.719167	+22.506667	2216	Gem	06 14 52.6	+22 30 24	 93.44	 -0.89	188.85	  2.52	  362	 3.28	M3III
093.844167	+29.498056	2219	Aur	06 15 22.6	+29 29 53	 93.36	  6.10	182.72	  5.92	  171	 4.35	G8.5IIIb
093.713750	 -6.274722	2227	Mon	06 14 51.3	-06 16 29	 94.25	-29.66	214.40	-10.98	  195	 3.96	K3III
094.905417	+59.010833	2238	Lyn	06 19 37.3	+59 00 39	 93.10	 35.62	155.59	 19.12	  155	 4.48	A2Vs
094.137500	-35.140556	2256	Col	06 16 33.0	-35 08 26	 96.48	-58.49	242.35	-21.89	  191	 4.37	K0III
094.997917	 -2.944444	2275	   	06 19 59.5	-02 56 40	 95.57	-26.29	211.97	 -8.34	  543	 4.90	M1III
095.077917	-30.063333	2282	CMa	06 20 18.7	-30 03 48	 97.38	-53.37	237.52	-19.43	  362	 3.02	B2.5V
095.740000	+22.513611	2286	Gem	06 22 57.6	+22 30 49	 95.30	 -0.82	189.72	  4.17	  232	 2.87	M3IIIab
096.224167	+49.288056	2289	Aur	06 24 53.8	+49 17 17	 94.51	 25.95	165.35	 16.17	 3154	 4.75	K5-M0Iab-Ib
095.674583	-17.956111	2294	CMa	06 22 41.9	-17 57 22	 97.19	-41.25	226.06	-14.27	  543	 1.97	B1II-III
095.527917	-33.436389	2296	Col	06 22 06.7	-33 26 11	 98.42	-56.71	241.03	-20.24	  250	 3.85	G7II
095.941667	 +4.592778	2298	Mon	06 23 46.0	+04 35 34	 96.25	-18.72	205.68	 -4.03	  130	 4.44	A5IV
095.988333	-52.695556	2326	Car	06 23 57.2	-52 41 44	104.96	-75.82	261.21	-25.29	  326	-0.72	F0II
097.240417	+20.211944	2343	Gem	06 28 57.7	+20 12 43	 96.80	 -3.06	192.42	  4.35	  543	 4.14	B6IIIe
097.203750	 -7.033056	2356	Mon	06 28 48.9	-07 01 59	 98.28	-30.27	216.66	 -8.21	  459	 4.60	B3Ve
097.042083	-32.580278	2361	CMa	06 28 10.1	-32 34 49	100.58	-55.76	240.64	-18.76	  407	 4.48	B4V
098.225833	 +7.332778	2385	Mon	06 32 54.2	+07 19 58	 98.48	-15.86	204.30	 -0.75	 2825	 4.50	A0Ib
097.963750	-23.418333	2387	CMa	06 31 51.3	-23 25 06	100.66	-46.56	232.11	-14.53	 1490	 4.33	B0.5IV
098.763750	-22.964722	2414	CMa	06 35 03.3	-22 57 53	101.66	-46.05	231.99	-13.68	  465	 4.54	A0V
099.427917	+16.399167	2421	Gem	06 37 42.7	+16 23 57	 99.10	 -6.74	196.77	  4.45	  105	 1.92	A0IV
099.832500	+42.488889	2427	Aur	06 39 19.8	+42 29 20	 97.67	 19.31	172.89	 15.86	  465	 4.82	K3III
099.170833	-19.256111	2429	CMa	06 36 41.0	-19 15 22	101.74	-42.32	228.69	-11.80	   65	 3.91	K1III
098.743750	-52.975556	2435	   	06 34 58.5	-52 58 32	111.83	-75.75	261.93	-23.73	 1065	 4.39	A0II
099.472083	-18.237500	2443	CMa	06 37 53.3	-18 14 15	102.00	-41.28	227.87	-11.11	  465	 4.42	K1III
099.819167	-14.145833	2450	   	06 39 16.6	-14 08 45	101.98	-37.18	224.26	 -9.04	  569	 4.82	K2II
099.440000	-43.195833	2451	Pup	06 37 45.6	-43 11 45	107.15	-66.07	251.94	-20.54	  465	 3.17	B8III
100.244167	 +9.895556	2456	Mon	06 40 58.6	+09 53 44	100.37	-13.18	202.94	  2.20	 3169	 4.66	O7Ve
099.656667	-48.220278	2462	   	06 38 37.6	-48 13 13	110.06	-70.99	257.12	-21.91	  465	 4.93	G8III
101.558750	+59.441667	2470	Lyn	06 46 14.1	+59 26 30	 97.26	 36.29	156.31	 22.48	  232	 4.87	A3V
100.982917	+25.131111	2473	Gem	06 43 55.9	+25 07 52	 99.94	  2.07	189.54	  9.63	  754	 2.98	G8Ib
100.996667	+13.227778	2478	Gem	06 43 59.2	+13 13 40	100.86	 -9.80	200.30	  4.37	  296	 4.49	K0IIICN1Ca1
101.322083	+12.895556	2484	Gem	06 45 17.3	+12 53 44	101.21	-10.10	200.74	  4.50	   57	 3.36	F5III
101.287083	-16.716111	2491	CMa	06 45 08.9	-16 42 58	104.08	-39.61	227.22	 -8.88	    8	-1.46	A1Vm
101.832500	 +8.037222	2503	Mon	06 47 19.8	+08 02 14	102.13	-14.91	205.31	  2.75	  543	 4.76	K4III
101.965000	 +2.412222	2506	Mon	06 47 51.6	+02 24 44	102.78	-20.50	210.38	  0.30	  407	 4.46	K0IIIBa0.1
105.016667	+76.977500	2527	   	07 00 04.0	+76 58 39	 95.68	 53.83	137.55	 26.86	  191	 4.55	K4III
102.460000	-32.508611	2538	CMa	06 49 50.4	-32 30 31	108.57	-55.15	242.36	-14.49	  906	 3.89	B1.5IVne
103.197083	+33.961111	2540	Gem	06 52 47.3	+33 57 40	101.12	 11.03	182.10	 15.02	  203	 3.60	A3III
102.717917	-34.367222	2549	   	06 50 52.3	-34 22 02	109.46	-56.95	244.21	-15.02	  292	 4.99	K5III
102.047500	-61.941389	2550	Pic	06 48 11.4	-61 56 29	144.12	-83.04	271.92	-24.10	  101	 3.27	A7IV
102.483750	-50.614722	2553	Pup	06 49 56.1	-50 36 53	117.73	-72.85	260.16	-20.86	  191	 2.93	K1III
102.463750	-53.622222	2554	   	06 49 51.3	-53 37 20	121.23	-75.71	263.24	-21.76	  619	 4.40	G6II
104.318750	+58.422500	2560	Lyn	06 57 16.5	+58 25 21	 99.15	 35.44	157.77	 23.60	  171	 4.35	G5III-IV
103.660833	+13.177778	2564	Gem	06 54 38.6	+13 10 40	103.49	 -9.62	201.51	  6.67	   93	 4.65	F0Vp
103.386667	-20.224167	2571	CMa	06 53 32.8	-20 13 27	107.24	-42.87	231.30	 -8.62	 1611	 4.83	B1IV
103.547083	-12.038611	2574	CMa	06 54 11.3	-12 02 19	106.18	-34.72	223.98	 -4.85	  271	 4.08	K4III
103.532500	-24.183889	2580	CMa	06 54 07.8	-24 11 02	108.16	-46.77	234.98	-10.21	 2673	 3.87	K2Iab
104.404167	+45.094167	2585	Lyn	06 57 37.0	+45 05 39	100.93	 22.20	171.55	 19.87	  232	 4.90	A2Vn
103.905417	-20.136389	2590	CMa	06 55 37.3	-20 08 11	107.88	-42.72	231.44	 -8.15	   95	 4.69	F2
104.027500	-14.043611	2593	CMa	06 56 06.6	-14 02 37	107.04	-36.66	225.99	 -5.34	  205	 5.00	G5III+A2
104.033750	-17.054167	2596	CMa	06 56 08.1	-17 03 15	107.52	-39.64	228.70	 -6.68	 1687	 4.37	B3II
104.066667	-48.721111	2608	   	06 56 16.0	-48 43 16	119.09	-70.74	258.60	-19.29	  392	 4.95	M1III
104.656250	-28.972222	2618	CMa	06 58 37.5	-28 58 20	110.76	-51.36	239.83	-11.33	  465	 1.50	B2II
105.429583	-27.935000	2646	CMa	07 01 43.1	-27 56 06	111.56	-50.23	239.17	-10.27	 2877	 3.43	K7Ib
105.727500	 -4.239167	2648	Mon	07 02 54.6	-04 14 21	107.62	-26.72	218.01	  0.61	 1497	 5.00	B1V
106.027083	+20.570278	2650	Gem	07 04 06.5	+20 34 13	104.99	 -2.04	195.75	 11.90	 1546	 3.79	F7-G3Ib
105.755833	-23.833333	2653	CMa	07 03 01.4	-23 50 00	111.00	-46.13	235.55	 -8.23	 2773	 3.01	B3Iab
105.939167	-15.633333	2657	CMa	07 03 45.4	-15 38 00	109.61	-37.99	228.25	 -4.41	  407	 4.11	B8II
105.973750	-49.583889	2672	   	07 03 53.7	-49 35 02	123.55	-71.17	259.91	-18.41	  203	 4.93	A4IV
107.097500	-26.393056	2693	CMa	07 08 23.4	-26 23 35	113.40	-48.45	238.42	 -8.27	 2735	 1.84	F8Ia
107.913750	+39.320556	2696	Aur	07 11 39.3	+39 19 14	104.39	 16.77	178.27	 20.46	  465	 4.99	K4III-IIIa
107.784583	+30.245278	2697	Gem	07 11 08.3	+30 14 43	105.44	  7.75	187.22	 17.20	  326	 4.42	K2III
107.556667	 -4.237222	2701	Mon	07 10 13.6	-04 14 14	109.64	-26.49	218.85	  2.23	  217	 4.92	K0III
107.212500	-39.655833	2702	   	07 08 51.0	-39 39 21	118.43	-61.41	250.69	-13.83	  915	 4.83	B2IV-V
107.965833	 -0.492778	2714	Mon	07 11 51.8	-00 29 34	109.54	-22.72	215.70	  4.32	  407	 4.15	A2V
108.342500	+16.158889	2717	Gem	07 13 22.2	+16 09 32	107.70	 -6.16	200.78	 12.04	  678	 5.00	M4IIIab
107.187500	-70.499167	2736	Vol	07 08 45.0	-70 29 57	219.86	-82.62	281.56	-24.04	  141	 3.78	K0III
108.140000	-46.759444	2740	   	07 12 33.6	-46 45 34	124.74	-68.02	257.72	-16.02	   69	 4.49	F0IV
112.768750	+82.411667	2742	   	07 31 04.5	+82 24 42	 95.77	 59.43	131.42	 28.18	  543	 4.96	M4IIIa
108.562917	-26.352500	2745	CMa	07 14 15.1	-26 21 09	115.33	-48.17	238.97	 -7.07	  751	 4.65	B3IIIe
108.305417	-45.183056	2746	   	07 13 13.3	-45 10 59	123.71	-66.49	256.26	-15.30	  191	 4.89	A0pSi
108.702500	-26.772778	2749	CMa	07 14 48.6	-26 46 22	115.63	-48.56	239.41	 -7.15	  567	 3.82	B2IV-Ve
108.658750	-48.271667	2762	   	07 14 38.1	-48 16 18	127.09	-69.32	259.31	-16.29	  362	 4.76	B8-9V
109.522917	+16.540278	2763	Gem	07 18 05.5	+16 32 25	108.78	 -5.64	200.92	 13.23	   95	 3.58	A3V
109.152917	-23.315556	2764	   	07 16 36.7	-23 18 56	115.26	-45.09	236.50	 -5.21	 1750	 4.79	K3Ib
109.145417	-27.881111	2766	   	07 16 34.9	-27 52 52	116.55	-49.57	240.58	 -7.30	  465	 4.60	M3III
109.285417	-37.097500	2773	Pup	07 17 08.5	-37 05 51	120.30	-58.53	249.01	-11.28	   89	 2.70	K3Ib
110.030417	+21.982222	2777	Gem	07 20 07.3	+21 58 56	108.52	 -0.18	195.98	 15.89	   59	 3.53	F2IV
109.667917	-24.558889	2781	CMa	07 18 40.3	-24 33 32	116.26	-46.22	237.82	 -5.37	 3154	 4.95	O7e+O7:
109.676667	-24.954167	2782	CMa	07 18 42.4	-24 57 15	116.38	-46.61	238.18	 -5.54	 3013	 4.40	O9Ib
109.576667	-36.734167	2787	   	07 18 18.4	-36 44 03	120.56	-58.11	248.78	-10.91	  633	 4.67	B2V+B3IVne
109.207500	-67.957500	2803	Vol	07 16 49.8	-67 57 27	199.43	-82.48	279.09	-22.69	  727	 3.98	F6II
110.556250	-19.016667	2812	   	07 22 13.5	-19 01 00	115.94	-40.62	233.29	 -2.06	  543	 4.96	B7IV
111.678333	+49.211667	2818	Lyn	07 26 42.8	+49 12 42	105.71	 26.95	168.71	 25.75	  250	 4.63	A1V
111.431250	+27.798056	2821	Gem	07 25 43.5	+27 47 53	108.96	  5.76	190.85	 19.27	  130	 3.79	G9IIIbHdelta-1
111.023333	-29.303056	2827	CMa	07 24 05.6	-29 18 11	119.54	-50.61	242.62	 -6.49	 2472	 2.44	B5Ia
111.411667	 +9.276111	2828	CMi	07 25 38.8	+09 16 34	111.66	-12.57	208.45	 11.78	  244	 4.99	G6.5IIb
111.787500	 +8.289167	2845	CMi	07 27 09.0	+08 17 21	112.19	-13.49	209.52	 11.68	  171	 2.89	B8Ve
112.277500	+31.784444	2852	Gem	07 29 06.6	+31 47 04	109.09	  9.81	187.14	 21.34	   60	 4.18	F0V
112.040417	 +8.925556	2854	CMi	07 28 09.7	+08 55 32	112.35	-12.82	209.05	 12.18	  407	 4.30	K3III
112.448750	+12.006667	2864	CMi	07 29 47.7	+12 00 24	112.27	 -9.71	206.38	 13.88	  214	 4.55	K1IIIBa0.5
112.464167	-23.024444	2874	   	07 29 51.4	-23 01 28	119.38	-44.20	237.67	 -2.39	 2224	 4.86	A5Ib
112.307500	-43.301389	2878	Pup	07 29 13.8	-43 18 05	128.69	-63.77	255.74	-11.91	  191	 3.25	K5III
112.677083	-30.962222	2881	   	07 30 42.5	-30 57 44	122.38	-51.88	244.76	 -6.00	 2286	 4.65	G3Ib
113.649583	+31.888333	2890	Gem	07 34 35.9	+31 53 18	110.24	 10.10	187.44	 22.48	   51	 1.58	A2Vm
113.649583	+31.888333	2891	Gem	07 34 35.9	+31 53 18	110.24	 10.10	187.44	 22.48	   51	 1.58	A1V
113.449167	-14.523889	2902	   	07 33 47.8	-14 31 26	118.31	-35.69	230.67	  2.52	 8063	 4.98	M2Iabpe+B2V
113.980417	+26.895556	2905	Gem	07 35 55.3	+26 53 44	111.34	  5.22	192.60	 21.06	  250	 4.06	M0III-IIIb
113.512917	-22.296111	2906	   	07 34 03.1	-22 17 46	120.47	-43.28	237.50	 -1.19	   85	 4.45	F6IV
113.845000	-28.369444	2922	   	07 35 22.8	-28 22 10	122.92	-49.12	242.96	 -3.87	  232	 4.63	B8V
114.791250	+34.584444	2930	Gem	07 39 09.9	+34 35 04	110.74	 12.91	184.97	 24.23	  163	 4.91	F3III
113.915417	-52.533889	2934	   	07 35 39.7	-52 32 02	141.74	-71.70	264.77	-14.96	  407	 4.94	K3III
114.341667	-34.968333	2937	   	07 37 22.0	-34 58 06	126.47	-55.37	248.98	 -6.67	  362	 4.53	B8IV
114.825417	 +5.225000	2943	CMi	07 39 18.1	+05 13 30	115.79	-16.02	213.69	 13.03	   11	 0.37	F5IV-V
114.574583	-25.365000	2944	   	07 38 17.9	-25 21 54	122.78	-46.05	240.65	 -1.84	  283	 4.70	B8IV
115.751667	+58.710278	2946	Lyn	07 43 00.4	+58 42 37	106.35	 36.72	158.51	 29.53	  250	 4.99	A3IVn
114.705417	-26.801944	2948	   	07 38 49.3	-26 48 07	123.45	-47.41	241.96	 -2.44	  465	 4.50	B6V
114.707083	-26.803611	2949	   	07 38 49.7	-26 48 13	123.46	-47.41	241.97	 -2.44	  465	 4.62	B5IVn
115.096250	-15.263611	2959	   	07 40 23.1	-15 15 49	120.42	-36.09	232.09	  3.55	  801	 4.96	K3II
114.863750	-38.308333	2961	   	07 39 27.3	-38 18 30	129.06	-58.42	252.14	 -7.90	  651	 4.85	B2.5V
115.311667	 -9.551111	2970	Mon	07 41 14.8	-09 33 04	119.28	-30.45	227.19	  6.52	  148	 3.93	K0III
115.827917	+28.883333	2973	Gem	07 43 18.7	+28 53 00	112.63	  7.45	191.19	 23.27	  125	 4.29	K1III
116.111667	+24.398056	2985	Gem	07 44 26.8	+24 23 53	113.67	  3.08	195.85	 21.97	  148	 3.57	G8IIIa
116.328750	+28.026111	2990	Gem	07 45 18.9	+28 01 34	113.22	  6.68	192.23	 23.41	   33	 1.14	K0IIIb
115.884583	-28.411111	2993	Pup	07 43 32.3	-28 24 40	125.58	-48.70	243.88	 -2.32	 1783	 4.59	K3Ib
115.951667	-28.955000	2996	Pup	07 43 48.4	-28 57 18	125.88	-49.21	244.38	 -2.54	  624	 3.95	A2Iabe
116.530833	+18.510000	3003	Gem	07 46 07.4	+18 30 36	115.09	 -2.65	201.86	 20.14	  362	 4.87	K5III
116.313333	-37.968611	3017	   	07 45 15.2	-37 58 07	130.89	-57.73	252.39	 -6.74	  331	 3.61	K2.5Ib-II
115.455417	-72.606111	3024	Vol	07 41 49.3	-72 36 22	225.76	-79.39	284.57	-22.16	  135	 3.95	K0III
117.021250	-25.937222	3034	Pup	07 48 05.1	-25 56 14	126.06	-46.05	242.25	 -0.21	 1095	 4.49	B0V:pe:
117.323333	-24.859722	3045	Pup	07 49 17.6	-24 51 35	126.04	-44.94	241.46	  0.57	  801	 3.30	G3Ib
117.084167	-47.077778	3046	   	07 48 20.2	-47 04 40	139.48	-65.93	260.73	-10.66	  232	 4.71	K0III
117.309583	-46.373333	3055	   	07 49 14.3	-46 22 24	139.07	-65.23	260.18	-10.19	 1824	 4.11	B0III
118.373750	+26.765833	3067	Gem	07 53 29.7	+26 45 57	115.24	  5.78	194.19	 24.70	  271	 4.98	A3V
118.054167	-40.575833	3080	   	07 52 13.0	-40 34 33	135.08	-59.70	255.35	 -6.86	  362	 3.73	K1-2II+a
118.160833	-38.863056	3084	   	07 52 38.6	-38 51 47	134.02	-58.08	253.90	 -5.93	  551	 4.49	B2.5V
118.265417	-49.613056	3089	   	07 53 03.7	-49 36 47	144.28	-67.80	263.38	-11.19	  744	 4.63	B1.5Vp
118.325833	-48.103056	3090	   	07 53 18.2	-48 06 11	142.49	-66.46	262.06	-10.42	 2877	 4.24	B0.5Ib
